date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:43	45423/45423	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:43%20GMT	https://te.dynamiclayers.net/softgen/	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/index.html	(from )
13:38:43	1326/1326	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Aug%202025%2008:08:43%20GMT	https://te.dynamiclayers.net/robots.txt		(from )
13:38:43	7264/7264	---M--	200	added ('OK')	image/png	etag:%2261c7205a0a8622f4d948da32089aa1cd-ssl%22	https://te.dynamiclayers.net/softgen/assets/img/favicon.png	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/img/favicon.png	(from https://te.dynamiclayers.net/softgen/)
13:38:43	231346/231346	---MCZ	200	added ('OK')	text/css	etag:W/%2282295524c6b81bb22da3aaf2c6f812da-ssl-df%22	https://te.dynamiclayers.net/softgen/assets/css/bootstrap.min.css	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/css/bootstrap.min.css	(from https://te.dynamiclayers.net/softgen/)
13:38:44	59198/59198	---MCZ	200	added ('OK')	text/css	etag:W/%22e672907c65a00a53d2a662765b05e1a1-ssl-df%22	https://te.dynamiclayers.net/softgen/assets/css/animate.min.css	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/css/animate.min.css	(from https://te.dynamiclayers.net/softgen/)
13:38:44	68211/68211	---MCZ	200	added ('OK')	text/css	etag:W/%2230941836649c2b31394567d48cdcf9b2-ssl-df%22	https://te.dynamiclayers.net/softgen/assets/css/keyframe-animation.css	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/css/keyframe-animation.css	(from https://te.dynamiclayers.net/softgen/)
13:38:44	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2261e456a47b0d60401e001bd610bc0d7a-ssl-df%22	https://te.dynamiclayers.net/softgen/assets/css/line-awesome.min.css	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/css/line-awesome.min.css	(from https://te.dynamiclayers.net/softgen/)
13:38:44	3273/3273	---MCZ	200	added ('OK')	text/css	etag:W/%2269bdab762dee79d6815106762756e3ff-ssl-df%22	https://te.dynamiclayers.net/softgen/assets/css/odometer.min.css	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/css/odometer.min.css	(from https://te.dynamiclayers.net/softgen/)
13:38:45	15562/15562	---MCZ	200	added ('OK')	text/css	etag:W/%22b12fa371480c01ea84ab0617eb6fd352-ssl-df%22	https://te.dynamiclayers.net/softgen/assets/css/swiper.min.css	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/css/swiper.min.css	(from https://te.dynamiclayers.net/softgen/)
13:38:45	19184/19184	---MCZ	200	added ('OK')	text/css	etag:W/%22d85f752f921b531343314c87ec09de08-ssl-df%22	https://te.dynamiclayers.net/softgen/assets/css/venobox.min.css	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/css/venobox.min.css	(from https://te.dynamiclayers.net/softgen/)
13:38:45	13287/13287	---MCZ	200	added ('OK')	text/css	etag:W/%22c75c878b4ce40d52318e0118f14e627e-ssl-df%22	https://te.dynamiclayers.net/softgen/assets/css/animated-text.min.css	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/css/animated-text.min.css	(from https://te.dynamiclayers.net/softgen/)
13:38:45	39288/39288	---MCZ	200	added ('OK')	text/css	etag:W/%229b7d23a4882f93984d35705769fcfce5-ssl-df%22	https://te.dynamiclayers.net/softgen/assets/css/common-style.css	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/css/common-style.css	(from https://te.dynamiclayers.net/softgen/)
13:38:46	83666/83666	---MCZ	200	added ('OK')	text/css	etag:W/%22c1f1d2f7e26badbcddbe073b86f07257-ssl-df%22	https://te.dynamiclayers.net/softgen/assets/css/main.css	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/css/main.css	(from https://te.dynamiclayers.net/softgen/)
13:38:46	4281/4281	---M--	200	added ('OK')	image/png	etag:%22b1f8c2714ec05ac45b4fa2e57677e8b0-ssl%22	https://te.dynamiclayers.net/softgen/assets/img/logo-dark.png	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/assets/img/logo-dark.png	(from https://te.dynamiclayers.net/softgen/)
13:38:47	62271/62271	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:46%20GMT	https://te.dynamiclayers.net/softgen/index-2	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/index-2.html	(from https://te.dynamiclayers.net/softgen/)
13:38:47	42990/42990	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:47%20GMT	https://te.dynamiclayers.net/softgen/index-3	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/index-3.html	(from https://te.dynamiclayers.net/softgen/)
13:38:47	40384/40384	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:47%20GMT	https://te.dynamiclayers.net/softgen/index-4	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/index-4.html	(from https://te.dynamiclayers.net/softgen/)
13:38:48	34181/34181	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:48%20GMT	https://te.dynamiclayers.net/softgen/about	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/about.html	(from https://te.dynamiclayers.net/softgen/)
13:38:48	35624/35624	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:48%20GMT	https://te.dynamiclayers.net/softgen/services	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/services.html	(from https://te.dynamiclayers.net/softgen/)
13:38:48	21996/21996	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:48%20GMT	https://te.dynamiclayers.net/softgen/service-details	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/service-details.html	(from https://te.dynamiclayers.net/softgen/)
13:38:49	27711/27711	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:49%20GMT	https://te.dynamiclayers.net/softgen/team	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/team.html	(from https://te.dynamiclayers.net/softgen/)
13:38:49	19253/19253	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:49%20GMT	https://te.dynamiclayers.net/softgen/team-details	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/team-details.html	(from https://te.dynamiclayers.net/softgen/)
13:38:50	25552/25552	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:49%20GMT	https://te.dynamiclayers.net/softgen/pricing	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/pricing.html	(from https://te.dynamiclayers.net/softgen/)
13:38:50	27449/27449	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:50%20GMT	https://te.dynamiclayers.net/softgen/testimonial	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/testimonial.html	(from https://te.dynamiclayers.net/softgen/)
13:38:50	22400/22400	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2008:08:50%20GMT	https://te.dynamiclayers.net/softgen/faqs	E:/Final%20Website/trishulasTech%20Website/te.dynamiclayers.net/softgen/faqs.html	(from https://te.dynamiclayers.net/softgen/)
